calldate,clid,src,dst,dcontext,channel,dstchannel,lastapp,lastdata,duration,billsec,disposition,amaflags,accountcode,uniqueid,userfield
"2017-04-12 15:16:38","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9706,followme-check,PJSIP/9306-00000020,PJSIP/9706-00000021,Dial,"PJSIP/9706/sip:9706@201.76.190.110:53506;rinstance=e0d60e10b823ea63,22,TtrwWIM(",17,9,ANSWERED,3,,1492020998.32,
"2017-04-12 15:16:03","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9308,followme-check,PJSIP/9306-0000001c,PJSIP/9306-0000001e,Dial,PJSIP/9306/sip:9306@177.41.227.203:5060&PJSIP/9308/sip:9308@201.76.190.110:5061,3,0,"NO ANSWER",3,,1492020941.28,
"2017-04-12 15:16:03","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9308,followme-check,PJSIP/9306-0000001c,PJSIP/9308-0000001f,Dial,PJSIP/9306/sip:9306@177.41.227.203:5060&PJSIP/9308/sip:9308@201.76.190.110:5061,3,0,"NO ANSWER",3,,1492020941.28,
"2017-04-12 15:15:41","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9308,followme-check,PJSIP/9306-0000001c,PJSIP/9308-0000001d,Dial,"PJSIP/9308/sip:9308@201.76.190.110:5061,22,TtrwWIM(auto-blkvm)b(func-apply-siph",22,0,"NO ANSWER",3,,1492020941.28,
"2017-04-12 15:15:09","""Ramal - Inativo"" <9308>",9308,9306,followme-check,PJSIP/9308-0000001a,PJSIP/9306-0000001b,Dial,"PJSIP/9306/sip:9306@177.41.227.203:5060,22,TtrwWIM(auto-blkvm)b(func-apply-siph",11,9,ANSWERED,3,,1492020909.26,
"2017-04-12 15:14:32","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9308,followme-check,PJSIP/9306-00000018,PJSIP/9308-00000019,Dial,"PJSIP/9308/sip:9308@201.76.190.110:5061,22,TtrwWIM(auto-blkvm)b(func-apply-siph",21,0,"NO ANSWER",3,,1492020872.24,
"2017-04-12 15:14:12","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9205,followme-check,PJSIP/9306-00000015,PJSIP/9306-00000016,Dial,PJSIP/9306/sip:9306@177.41.227.203:5060&PJSIP/9308/sip:9308@201.76.190.110:5061,6,0,"NO ANSWER",3,,1492020852.21,
"2017-04-12 15:14:12","""Ramal - Area Suporte - Bancada 2"" <9306>",9306,9205,followme-check,PJSIP/9306-00000015,PJSIP/9308-00000017,Dial,PJSIP/9306/sip:9306@177.41.227.203:5060&PJSIP/9308/sip:9308@201.76.190.110:5061,5,0,"NO ANSWER",3,,1492020852.21,
"2017-04-11 16:55:15","""4133182200"" <4133182200>",4133182200,600,ext-group,PJSIP/Tronco_DirectCall_SP-0000000d,,Hangup,,23,23,ANSWERED,3,,1491929715.15,
"2017-04-11 16:54:35","""4133182200"" <4133182200>",4133182200,s,ivr-2,PJSIP/Tronco_DirectCall_SP-0000000c,,WaitExten,"5,",25,25,ANSWERED,3,,1491929675.14,
"2017-04-11 16:53:39","""4133182200"" <4133182200>",4133182200,9000,ext-group,PJSIP/Tronco_DirectCall_SP-0000000b,,Hangup,,29,29,ANSWERED,3,,1491929619.13,
"2017-04-11 16:52:11","""4133182200"" <4133182200>",4133182200,9000,ext-group,PJSIP/Tronco_DirectCall_SP-0000000a,,Hangup,,32,31,ANSWERED,3,,1491929531.12,
"2017-04-11 14:58:05","""4133182200"" <4133182200>",4133182200,8300,ext-group,PJSIP/DirectCall_SP-00000007,PJSIP/8301-00000008,Dial,"PJSIP/8301/sip:8301@179.66.103.107:2322;ob,20,trwWM(auto-blkvm)b(func-apply-sip",39,39,ANSWERED,3,,1491933485.7,
"2017-04-11 14:55:28","""4133182200"" <4133182200>",4133182200,s,app-announcement-2,PJSIP/DirectCall_SP-00000006,,Wait,1,0,0,ANSWERED,3,,1491933328.6,
"2017-04-11 14:31:24","""4133182200"" <4133182200>",4133182200,9000,ext-group,PJSIP/DirectCall_SP-00000004,,Hangup,,33,33,ANSWERED,3,,1491931884.4,
"2017-04-11 14:30:42","""4133182200"" <4133182200>",4133182200,9000,ext-group,PJSIP/DirectCall_SP-00000003,,Hangup,,22,22,ANSWERED,3,,1491931842.3,
"2017-04-11 14:22:12","""4133182200"" <4133182200>",4133182200,9000,ext-group,PJSIP/DirectCall_SP-00000002,,Hangup,,26,26,ANSWERED,3,,1491931332.2,
"2017-04-11 14:13:05","""4133182200"" <4133182200>",4133182200,8300,ext-group,PJSIP/DirectCall_SP-00000000,PJSIP/8701-00000001,Dial,"PJSIP/8701/sip:8701@177.205.168.138:44952;ob,20,trwWM(auto-blkvm)b(func-apply-s",36,36,ANSWERED,3,,1491930785.0,
"2017-04-10 18:00:18","""ID - Luiz Mariath"" <9706>",9706,9701,followme-check,PJSIP/9706-00000005,PJSIP/9701-00000006,Dial,"PJSIP/9701/sip:9701@201.76.190.110:54654;rinstance=40198d350fa5c095,22,TtrwWIM(",2,0,"NO ANSWER",3,,1491847218.7,
"2017-04-10 17:58:08","""ID - Raphael Santos"" <9728>",9728,9728,from-internal-xfer,Local/9728@from-internal-xfer-00000000;1,,,,0,0,ANSWERED,3,,1491847062.4,
"2017-04-10 17:58:08","""ID - Luiz Mariath"" <9706>",9706,9701,followme-check,PJSIP/9706-00000002,Local/9728@from-internal-xfer-00000000;1,Dial,"PJSIP/9701/sip:9701@201.76.190.110:54654;rinstance=40198d350fa5c095,22,TtrwWIM(",0,0,ANSWERED,3,,1491846991.2,
"2017-04-10 17:58:08","""ID - Luiz Mariath"" <9706>",9706,9701,followme-check,PJSIP/9706-00000002,PJSIP/9728-00000004,Dial,"PJSIP/9701/sip:9701@201.76.190.110:54654;rinstance=40198d350fa5c095,22,TtrwWIM(",8,8,ANSWERED,3,,1491846991.2,
"2017-04-10 17:58:08","""device"" <9728>",9728,s,macro-dial,PJSIP/9728-00000004,,ExecIf,0?Set(MASTER_CHANNEL(CONNECTEDLINE(name))=),8,8,ANSWERED,3,,1491847062.6,
